secteur,gain_km,deux_receptifs,signal_mercato_a,signal_mercato_b,score_indiv_a,score_indiv_b,niveau,dep_a,nom_commune_a,nom_commune_b
agriculture,24.2,False,0,0,0.675,0.655,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Nizier-le-Bouchoux
agriculture,34.9,False,0,0,0.675,0.4,intra_employeur,01,Saint-Cyr-sur-Menthon,Vescours
agriculture,5.6,False,0,0,0.675,0.646,intra_employeur,01,Saint-Cyr-sur-Menthon,Fareins
agriculture,12.6,False,0,0,0.675,0.658,intra_employeur,01,Saint-Cyr-sur-Menthon,Viriat
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,6.5,False,0,0,0.675,0.674,intra_employeur,01,Saint-Cyr-sur-Menthon,Villeneuve
agriculture,45.2,False,0,1,0.675,0.684,intra_employeur,01,Saint-Cyr-sur-Menthon,Bey
agriculture,45.2,False,0,1,0.675,0.684,intra_employeur,01,Saint-Cyr-sur-Menthon,Bey
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,9.5,False,0,0,0.675,0.673,intra_employeur,01,Saint-Cyr-sur-Menthon,Saint-Rémy
agriculture,37.7,False,0,0,0.673,0.662,intra_employeur,01,Billiat,Versonnex
agriculture,37.7,False,0,0,0.673,0.662,intra_employeur,01,Billiat,Versonnex
agriculture,13.3,False,0,0,0.673,0.588,intra_employeur,01,Billiat,Belley
agriculture,35.3,False,0,0,0.673,0.66,intra_employeur,01,Billiat,Champdor-Corcelles
agriculture,27.2,False,0,0,0.673,0.4,intra_employeur,01,Billiat,Flaxieu
agriculture,45.5,False,0,0,0.673,0.653,intra_employeur,01,Billiat,Saint-Genis-Pouilly
agriculture,46.3,False,0,0,0.673,0.673,intra_employeur,01,Billiat,Échallon
agriculture,28.1,False,0,0,0.673,0.647,intra_employeur,01,Billiat,Vieu-d'Izenave
agriculture,15.1,False,0,0,0.673,0.688,intra_employeur,01,Billiat,Parves et Nattages
agriculture,13.3,False,0,0,0.673,0.588,intra_employeur,01,Billiat,Belley
agriculture,8.9,False,0,0,0.673,0.659,intra_employeur,01,Billiat,Brens
agriculture,8.9,False,0,0,0.673,0.659,intra_employeur,01,Billiat,Brens
agriculture,8.9,False,0,0,0.673,0.659,intra_employeur,01,Billiat,Brens
agriculture,8.9,False,0,0,0.673,0.659,intra_employeur,01,Billiat,Brens
agriculture,37.7,False,0,0,0.662,0.673,intra_employeur,01,Versonnex,Billiat
agriculture,119.0,False,0,0,0.662,0.653,intra_employeur,01,Versonnex,Saint-Genis-Pouilly
agriculture,51.5,False,0,0,0.662,0.673,intra_employeur,01,Versonnex,Échallon
agriculture,37.7,False,0,0,0.662,0.673,intra_employeur,01,Versonnex,Billiat
agriculture,119.0,False,0,0,0.662,0.653,intra_employeur,01,Versonnex,Saint-Genis-Pouilly
agriculture,51.5,False,0,0,0.662,0.673,intra_employeur,01,Versonnex,Échallon
agriculture,32.3,False,0,0,0.69,0.671,intra_employeur,01,Saint-Marcel,Misérieux
agriculture,45.7,False,0,0,0.69,0.67,intra_employeur,01,Saint-Marcel,Saint-André-de-Corcy
agriculture,31.0,False,0,0,0.69,0.66,intra_employeur,01,Saint-Marcel,Saint-Didier-de-Formans
agriculture,24.7,False,0,0,0.69,0.646,intra_employeur,01,Saint-Marcel,Fareins
agriculture,13.5,False,0,0,0.69,0.678,intra_employeur,01,Saint-Marcel,Saint-Maurice-de-Gourdans
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,28.0,False,0,0,0.69,0.674,intra_employeur,01,Saint-Marcel,Villeneuve
agriculture,35.0,False,0,0,0.69,0.652,intra_employeur,01,Saint-Marcel,Sainte-Croix
agriculture,35.0,False,0,0,0.69,0.652,intra_employeur,01,Saint-Marcel,Sainte-Croix
agriculture,35.0,False,0,0,0.69,0.652,intra_employeur,01,Saint-Marcel,Sainte-Croix
agriculture,35.0,False,0,0,0.69,0.652,intra_employeur,01,Saint-Marcel,Sainte-Croix
